NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GIVAUDAN 'N',CH0010645932,1487685.0,1358934.0,1429621.0,1416533.0,1972950.0,2203247.0,2203761.0,2134159.0,2346844.0,3746691.0,3494621.0,3687358.0,4427784.0,4288371.0,4639151.0,4864018.0,4760735.0,4426254.0,4674846.0,5346386.0,5521893.0,6354013.0,7020438.0,7240487.0,7707062.0,7931967.0
ZURICH INSURANCE GROUP,CH0011075394,40454211.0,36773693.0,38463800.0,39109037.0,48354045.0,56654132.0,60863160.0,64168748.0,65719875.0,51802969.0,29835167.0,58210697.0,62423732.0,54448622.0,61162375.0,74098004.0,72249165.0,58752187.0,66734959.0,66463332.0,46070477.0,73336328.0,61079260.0,69432824.0,43412983.0,69071070.0
BASILEA PHARMACEUTICA 'R',CH0011432447,,,,,151.0,308.0,236.0,23427.0,5796.0,7163.0,10090.0,24682.0,121375.0,73061.0,63098.0,46064.0,46087.0,53189.0,66152.0,107458.0,132433.0,137653.0,141729.0,160454.0,160016.0,180817.0
NOVARTIS 'R',CH0012005267,22373151.0,19774900.0,21726477.0,18917415.0,23914458.0,26937578.0,28701727.0,30779092.0,36426121.0,41393003.0,38324143.0,44669052.0,55024356.0,56484382.0,57609614.0,60515016.0,52943013.0,48888802.0,48950996.0,52030529.0,51890410.0,49468067.0,51721361.0,52399159.0,53395007.0,48009894.0
ROCHE HOLDING,CH0012032048,17404790.0,16791458.0,17398172.0,17219820.0,21931916.0,25335307.0,25715752.0,27280821.0,33916694.0,41831099.0,39005164.0,45685425.0,49587215.0,46587157.0,49583449.0,52080287.0,51306546.0,48476345.0,50704489.0,56415959.0,56793478.0,62962395.0,64766370.0,68029599.0,68527552.0,67351176.0
CREDIT SUISSE GROUP DEAD - DELIST.14/06/23,CH0012138530,51385838.0,45928447.0,62240091.0,65409097.0,61967161.0,65598319.0,60641250.0,68661843.0,66282809.0,84861828.0,43990150.0,48497280.0,51817297.0,45996753.0,40456625.0,41243401.0,38929066.0,33799023.0,29997015.0,32994958.0,33319187.0,36281279.0,33996153.0,28687885.0,23460136.0,43889071.0
ADECCO GROUP,CH0012138605,10803362.0,11250953.0,16157873.0,16088483.0,18509135.0,20097940.0,21885157.0,21763225.0,25963816.0,31473414.0,26969123.0,20785317.0,26628971.0,27639411.0,26944045.0,26680611.0,26215394.0,23567181.0,24842832.0,27971004.0,27446728.0,26639919.0,23261489.0,24492255.0,25684956.0,26667139.0
CLARIANT,CH0012142631,6729165.0,5637963.0,6421765.0,5828510.0,6510588.0,6324089.0,7014209.0,6284937.0,6534698.0,7737298.0,6901170.0,6160188.0,7437090.0,8072873.0,6580032.0,6764425.0,6611412.0,5846965.0,5861854.0,6749931.0,6616881.0,4506094.0,4286443.0,4735998.0,5628960.0,5020712.0
HOLCIM,CH0012214059,7952201.0,7427541.0,8502483.0,8056346.0,9599133.0,10225012.0,10866679.0,14187779.0,19337058.0,24529402.0,21510685.0,19682053.0,22617319.0,22722344.0,23478007.0,21953210.0,20657960.0,23746311.0,26972350.0,27657040.0,27440623.0,27372549.0,25698667.0,29068108.0,31609025.0,30981128.0
ABB LTD N,CH0012221716,30384032.0,24414791.0,23547182.0,23675962.0,21057738.0,20438094.0,21128179.0,21378527.0,24516832.0,31567468.0,32092148.0,32019811.0,34157932.0,36577254.0,39813282.0,43039712.0,39920692.0,34531557.0,33739176.0,35458803.0,27059805.0,28453498.0,27026790.0,28687392.0,30447599.0,32999857.0
THE SWATCH GROUP,CH0012255151,2247760.0,2142865.0,2506691.0,2390215.0,2901875.0,3120252.0,3273572.0,3297268.0,3888548.0,5119511.0,4854162.0,4789188.0,6380020.0,7409079.0,8495848.0,9414085.0,9414452.0,8509162.0,7572189.0,8425506.0,8467170.0,8443677.0,6213121.0,7921856.0,8120733.0,9048063.0
BALOISE HOLDING,CH0012410517,6557601.0,5471370.0,5962054.0,5354718.0,6365015.0,7679308.0,7502901.0,6989102.0,7523292.0,8719943.0,6970430.0,8803742.0,9841505.0,8421091.0,10245038.0,10540302.0,10879967.0,8651334.0,8679795.0,9596397.0,6916204.0,10871067.0,9296250.0,10954757.0,6475686.0,6628555.0
SONOVA N,CH0012549785,154273.0,157558.0,190706.0,319638.0,408068.0,474655.0,544127.0,564328.0,790584.0,1056249.0,1033352.0,1265186.0,1694874.0,1695826.0,1884519.0,2082555.0,2155235.0,2062169.0,2144103.0,2729545.0,2693725.0,2956449.0,2843044.0,3397201.0,3905727.0,4180829.0
LONZA GROUP,CH0013841017,1519443.0,1329697.0,1033381.0,1102994.0,1871130.0,1819403.0,1794256.0,1936722.0,1843430.0,2602373.0,2511304.0,2505429.0,2799354.0,2948735.0,4277348.0,3990076.0,3934849.0,3829173.0,4142497.0,5403544.0,5536880.0,6064123.0,5006032.0,5859335.0,6738941.0,7704848.0
VALIANT 'R',CH0014786500,312867.0,256094.0,272595.0,271944.0,448055.0,534562.0,507850.0,467710.0,493255.0,607348.0,625606.0,681054.0,738189.0,752103.0,677995.0,636871.0,581664.0,513975.0,480158.0,498843.0,464229.0,470967.0,502341.0,490711.0,549866.0,895513.0
SWISS LIFE HOLDING,CH0014852781,17003016.0,16145736.0,15422431.0,13456176.0,16048481.0,17634899.0,18847089.0,16604649.0,16771584.0,17490301.0,15958796.0,16451075.0,18244895.0,18998088.0,20239210.0,21929831.0,19431022.0,20211147.0,19108422.0,19127803.0,19654824.0,24545357.0,25316663.0,22220843.0,22858039.0,15988965.0
PSP SWISS PROPERTY AG,CH0018294154,58319.0,55263.0,66869.0,94152.0,132103.0,152747.0,200230.0,185282.0,218938.0,235755.0,262975.0,277417.0,284327.0,323892.0,372673.0,405175.0,401174.0,303808.0,371583.0,340912.0,315014.0,362723.0,387884.0,419577.0,447894.0,425246.0
EFG INTERNATIONAL N,CH0022268228,,,,,105154.0,207021.0,257763.0,352985.0,860424.0,1425955.0,1495068.0,1027692.0,1164343.0,1181904.0,1268056.0,1057749.0,1110298.0,999834.0,1057279.0,1682137.0,1523891.0,1663229.0,1628737.0,1771016.0,1901263.0,2810084.0
PARTNERS GROUP HOLDING,CH0024608827,,,,,,72736.0,88194.0,117582.0,221225.0,383960.0,365812.0,389737.0,521601.0,474332.0,597589.0,524510.0,599372.0,607458.0,950743.0,1284890.0,1324675.0,1649503.0,1568327.0,2847557.0,2027097.0,2230471.0
SCHINDLER 'R',CH0024638212,4622411.0,4576277.0,5096514.0,4756811.0,5815555.0,6162598.0,6763408.0,6651386.0,8641936.0,12106926.0,11920359.0,11945028.0,8476402.0,8388339.0,8836946.0,9353967.0,9610113.0,9188807.0,9644440.0,10616561.0,10868949.0,11545394.0,11815479.0,12171471.0,12286683.0,13184386.0
KUEHNE UND NAGEL INTERNATIONAL,CH0025238863,3584122.0,3077981.0,3841190.0,3933399.0,5125482.0,6112528.0,7500023.0,8522501.0,12009887.0,15523470.0,15384197.0,13352353.0,17608773.0,17764702.0,18656864.0,19124309.0,18918627.0,16846147.0,16566982.0,19681389.0,20754806.0,21607535.0,22633749.0,35531900.0,42664441.0,27356397.0
LOGITECH 'R',CH0025751329,402662.0,392809.0,584731.0,916185.0,1228055.0,1354946.0,1471520.0,1631702.0,2048226.0,2467668.0,2262657.0,1839256.0,2527063.0,2244287.0,2199308.0,2204750.0,2123934.0,1972892.0,2122126.0,2576849.0,2695781.0,2940777.0,4571619.0,5734516.0,4962913.0,4367021.0
GEBERIT 'R',CH0030170408,643487.0,637743.0,644604.0,598439.0,815816.0,981601.0,1359589.0,1260060.0,1491444.0,1907711.0,1863171.0,1798507.0,1984617.0,2045712.0,2091923.0,2226494.0,2258323.0,2611550.0,2816136.0,3078379.0,3077654.0,3157953.0,3315996.0,3748610.0,3673118.0,3537439.0
SULZER 'R',CH0038388911,4146888.0,3361703.0,3480605.0,2185322.0,1435812.0,1481815.0,1699692.0,1919207.0,2260279.0,3207175.0,3175257.0,3120516.0,3325486.0,3919122.0,4382619.0,3633708.0,3472288.0,2991447.0,2884008.0,3227307.0,3361791.0,3819271.0,3685674.0,3418000.0,3443542.0,3764329.0
NESTLE 'N',CH0038863350,50634233.0,45476484.0,49406876.0,50011462.0,65784680.0,71395738.0,71350048.0,69967075.0,79431267.0,97522779.0,93977675.0,93677893.0,109271951.0,91618890.0,100461545.0,102599724.0,99032811.0,89396039.0,89696298.0,95042033.0,91354517.0,94821576.0,93660991.0,94338652.0,102252580.0,106674922.0
CHUBB,CH0044328745,1406942.0,3016990.0,5266657.0,6644687.0,7123004.0,10831742.0,12371625.0,13176000.0,13542000.0,14295000.0,14732000.0,15472000.0,16065000.0,16884000.0,17973000.0,19283000.0,19239000.0,19099000.0,31572000.0,32288000.0,32766000.0,34244000.0,35994000.0,40963000.0,43166000.0,49871000.0
TRANSOCEAN,CH0048265513,1049612.0,648236.0,1229513.0,2820100.0,2673900.0,2434300.0,2613900.0,2891700.0,3882000.0,6377000.0,12674000.0,11556000.0,9576000.0,9142000.0,9196000.0,9484000.0,9174000.0,7386000.0,4161000.0,2973000.0,3018000.0,3088000.0,3152000.0,2556000.0,2575000.0,2832000.0
GARMIN,CH0114405324,,232586.0,345741.0,369119.0,465144.0,572989.0,762549.0,1027773.0,1774000.0,3180319.0,3494077.0,2946440.0,2689911.0,2758569.0,2715675.0,2631851.0,2870658.0,2820270.0,3018665.0,3087004.0,3347444.0,3757505.0,4186573.0,4982795.0,4860286.0,5228252.0
SWISS RE,CH0126881561,16270677.0,16782321.0,19420030.0,20227664.0,28053669.0,30142685.0,29694033.0,26891326.0,31790901.0,40028480.0,28357132.0,29635778.0,29289813.0,27706541.0,34424675.0,37614746.0,36868120.0,34586893.0,43270476.0,43911753.0,36426548.0,49649157.0,44362951.0,45585296.0,47756448.0,50861060.0
RICHEMONT N,CH0210483332,7925901.0,6681679.0,2842543.0,3349779.0,4125719.0,4071265.0,4631177.0,4680018.0,5793337.0,7499333.0,7713359.0,6986644.0,8996845.0,10726894.0,12831255.0,14119117.0,14169665.0,11845803.0,11332984.0,12951772.0,14133574.0,16718772.0,14702216.0,19505099.0,22033805.0,23061555.0
UBS GROUP,CH0244767585,27958322.0,25365353.0,49770349.0,50325001.0,49863843.0,52348002.0,58212179.0,79159017.0,106589793.0,127591516.0,57955807.0,41744730.0,48403757.0,44680119.0,22037331.0,41102012.0,39367953.0,38497135.0,37509051.0,40829831.0,41727245.0,42248887.0,39488095.0,39888249.0,43047674.0,73623059.0
FLUGHAFEN ZURICH,CH0319416936,131493.0,128950.0,317261.0,318052.0,390180.0,455743.0,524062.0,539477.0,594665.0,728030.0,731160.0,763923.0,901434.0,991747.0,1033996.0,1085575.0,1041523.0,995779.0,1015377.0,1097777.0,1151832.0,1239544.0,692909.0,736614.0,1108357.0,1418119.0
UNITED INTERNET,DE0005089031,99806.0,118742.0,181254.0,200615.0,346271.0,527614.0,653987.0,957970.0,1649997.0,2157319.0,2120155.0,2267841.0,2582828.0,2772971.0,3208984.0,3616779.0,3477169.0,4140748.0,4220523.0,5171077.0,5826495.0,5694846.0,6454437.0,6462399.0,6324683.0,6683940.0
DEUTSCHE BANK,DE0005140008,47834010.0,54104187.0,68286511.0,65225295.0,60633412.0,55824803.0,56961752.0,72825596.0,99110927.0,132727479.0,75069143.0,62007283.0,63516540.0,71321651.0,71387554.0,57625666.0,51530807.0,52643072.0,46847573.0,50603089.0,44786574.0,40849986.0,39745801.0,38614085.0,42746487.0,66482073.0
BMW,DE0005190003,36436331.0,33653219.0,32974650.0,33443452.0,45756696.0,52790238.0,56887331.0,55763914.0,63782507.0,81246685.0,68372852.0,69285692.0,81903834.0,91133074.0,102895767.0,103582656.0,91214135.0,102719684.0,100638970.0,121311201.0,110697412.0,114256725.0,119041385.0,127319923.0,152485781.0,167278792.0
BEIERSDORF,DE0005200000,3778450.0,3559162.0,3838773.0,3949254.0,5131693.0,5940729.0,5833085.0,5708343.0,6664757.0,7987174.0,7674386.0,7858056.0,8388517.0,7459244.0,8087269.0,8363369.0,7130270.0,7450869.0,7216362.0,8674394.0,8213730.0,8390814.0,8447982.0,8729574.0,9408333.0,10162721.0
CONTINENTAL,DE0005439004,7611496.0,8933432.0,9433719.0,9767317.0,12345824.0,14663545.0,16164034.0,16538418.0,19378563.0,24104237.0,31153431.0,27472711.0,35275245.0,40394724.0,43832194.0,45393167.0,39146374.0,43720083.0,43338253.0,54103704.0,50425238.0,48766494.0,45363318.0,38646362.0,42137977.0,44558587.0
LANXESS,DE0005470405,,,,,7318777.0,8028184.0,8690603.0,8545782.0,9039077.0,9584028.0,8451978.0,6913394.0,9642596.0,11619894.0,12176428.0,11303690.0,9082727.0,8805977.0,8228491.0,11880576.0,8172849.0,7457770.0,7340424.0,8649454.0,8648096.0,7222664.0
DEUTSCHE POST,DE0005552004,16557194.0,21876255.0,30505002.0,29022930.0,42480940.0,50873136.0,55389925.0,53299382.0,78812055.0,92115739.0,70014150.0,63161110.0,69720576.0,69956396.0,74327892.0,75019730.0,64246172.0,66005825.0,61277091.0,74307690.0,69895627.0,69447608.0,80338202.0,93564504.0,100975721.0,87952125.0
DEUTSCHE TELEKOM,DE0005557508,40318663.0,34697973.0,38181615.0,42004516.0,58101113.0,70986184.0,74267254.0,71239547.0,79856027.0,90671173.0,79257859.0,88367590.0,84536588.0,77668563.0,77885487.0,81893191.0,71084878.0,77147581.0,78122039.0,92137159.0,85914274.0,88294869.0,121457327.0,124521469.0,122105173.0,120453037.0
FRAPORT,DE0005773303,1420517.0,1311009.0,1432710.0,1374326.0,1951818.0,2331924.0,2563811.0,2497759.0,2790737.0,3377906.0,2701137.0,2696730.0,2972141.0,3139954.0,3269720.0,3488346.0,2716650.0,2896210.0,2764063.0,3607938.0,3949926.0,4063070.0,2016693.0,2453140.0,3415613.0,4303585.0
FRESENIUS,DE0005785604,4873260.0,4844217.0,5688211.0,6364716.0,8123918.0,8980379.0,9329599.0,9429045.0,14027231.0,16521136.0,15877020.0,19364887.0,21630835.0,21878506.0,26120272.0,27980037.0,26614002.0,31197587.0,31497840.0,41658235.0,38076367.0,38822727.0,43625258.0,42943963.0,43668181.0,23988410.0
FRESENIUS MED.CARE,DE0005785802,3552875.0,3549811.0,4252655.0,4735400.0,5788663.0,6155491.0,6396079.0,6537746.0,8809751.0,10218814.0,9281863.0,11023773.0,12366416.0,12122575.0,14316132.0,14960439.0,13602438.0,17222871.0,17709281.0,21862487.0,18790480.0,19161443.0,21476589.0,20165676.0,20741335.0,20927456.0
DEUTSCHE BOERSE,DE0005810055,,,654999.0,661078.0,1267123.0,1924476.0,1958946.0,2086485.0,2609799.0,3504088.0,3459836.0,2951693.0,2933002.0,2957346.0,2957745.0,3019039.0,2726974.0,3116973.0,2857795.0,3445293.0,3561441.0,3642707.0,4520903.0,5142975.0,5706268.0,6582263.0
BILFINGER BERGER,DE0005909006,4528374.0,3574251.0,3386573.0,3166968.0,4282399.0,5797455.0,6977504.0,7417380.0,9774153.0,12527404.0,12540571.0,13097718.0,10843452.0,10869732.0,11392873.0,11459763.0,8732397.0,7222751.0,4540793.0,4971795.0,4715655.0,4744050.0,4162059.0,4277686.0,4610607.0,4825437.0
HEIDELBERG MATERIALS,DE0006047004,4416321.0,6249849.0,6350172.0,5815890.0,7109917.0,8100393.0,8891284.0,9325778.0,12019733.0,15754327.0,18234346.0,15197984.0,15928973.0,17084753.0,18772372.0,18979168.0,14310798.0,15005042.0,16208706.0,21226325.0,20525353.0,20668725.0,21172146.0,21426085.0,22555941.0,22782051.0
HENKEL PREFERENCE,DE0006048432,12313580.0,11113721.0,11918290.0,11355627.0,10449521.0,11995874.0,13590856.0,14311495.0,16583790.0,18962104.0,18162242.0,18555567.0,20439054.0,20664210.0,22106094.0,22273717.0,18637403.0,20158355.0,20001037.0,24622936.0,22597126.0,22053160.0,23149274.0,22966779.0,23947998.0,23143937.0
HOCHTIEF,DE0006070006,3542655.0,4974470.0,8940096.0,10582631.0,12993912.0,13392232.0,15325204.0,16318493.0,20186956.0,23861086.0,24552617.0,24834741.0,27301665.0,30830442.0,34180389.0,34991382.0,25071157.0,23510040.0,21277504.0,27821680.0,27120514.0,28344192.0,27603257.0,24468300.0,28035028.0,29858891.0
SALZGITTER,DE0006202005,3604094.0,2636839.0,3799247.0,3993631.0,5130958.0,6155018.0,7623713.0,8547669.0,10995825.0,14782521.0,16064928.0,10687941.0,11246897.0,13029510.0,13921350.0,12589587.0,10256017.0,9474059.0,8435727.0,11052230.0,10536241.0,9371332.0,8527110.0,11179394.0,13422619.0,11608007.0
INFINEON TECHNOLOGIES,DE0006231004,3584158.0,4145066.0,6792090.0,4388109.0,6164092.0,7948093.0,9479725.0,7908732.0,10916143.0,10375929.0,4560161.0,4289941.0,4436678.0,5324626.0,5100067.0,5414876.0,5064364.0,6934902.0,7013295.0,8842817.0,8850796.0,8743857.0,11162159.0,13263184.0,16049447.0,17276733.0
MERCK KGAA,DE0006599905,4683327.0,5230521.0,6286410.0,6545919.0,8087233.0,9155944.0,6851244.0,7016266.0,8146885.0,10235388.0,9714120.0,10590877.0,12582234.0,13608054.0,14959974.0,15110310.0,13047543.0,14314115.0,16057261.0,18842465.0,16847628.0,17709189.0,21085682.0,22532990.0,23771572.0,22583465.0
GEA GROUP,DE0006602006,12333996.0,7244792.0,8204889.0,7666948.0,8799445.0,8140306.0,5207813.0,5375643.0,5657495.0,7539844.0,6656406.0,6030484.0,5983853.0,7172559.0,7658943.0,5883358.0,5123004.0,5125419.0,4800820.0,5660625.0,5482872.0,5350147.0,5573929.0,5382766.0,5522372.0,5780596.0
PUMA,DE0006969603,341464.0,364597.0,431290.0,520024.0,984543.0,1619655.0,1963566.0,2124493.0,3084012.0,3442447.0,3244295.0,3364008.0,3665270.0,3984531.0,4379310.0,4065651.0,3371704.0,3774914.0,3876123.0,5084527.0,5278568.0,6032659.0,6294678.0,7789202.0,9051310.0,9253379.0
