NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
LONZA GROUP,CH0013841017,,3591.84,3958.94,3472.43,2872.34,2566.57,3112.4,3236.35,4856.05,6748.06,4571.34,4173.18,4487.72,2927.91,3295.18,5458.37,6499.63,8044.88,10351.05,19508.25,22159.24,31150.88,47200.05,50617.22,44927.36,39030.59
VALIANT 'R',CH0014786500,418.42,371.45,463.9,488.19,979.73,1331.82,1560.88,1637.79,2062.4,2854.56,2806.64,3184.19,2279.07,1974.01,1425.86,1565.15,1258.85,1592.6,1648.83,1932.21,1767.35,1644.66,1583.96,1640.44,1750.94,1818.64
SWISS LIFE HOLDING,CH0014852781,7336.48,5973.03,9560.13,3293.0,1257.48,4193.59,5172.48,6384.76,9033.18,8669.2,1807.38,4048.96,5216.64,3648.08,4811.44,7722.09,7860.17,7749.12,10026.13,12481.34,14635.88,15949.98,15994.82,19201.66,18380.9,21448.08
PSP SWISS PROPERTY AG,CH0018294154,,,525.62,670.16,852.47,1074.03,2055.34,2186.24,2739.2,2788.7,1757.38,2749.74,3620.34,3932.38,4151.13,4237.31,4774.74,3943.44,4274.01,4382.49,4638.15,7080.71,5492.18,5832.08,5158.66,5896.77
EFG INTERNATIONAL N,CH0022268228,,,,,,,,4008.49,5772.16,5272.98,1099.12,2016.55,2162.43,1359.84,1779.3,1968.07,1810.01,930.15,1598.68,2955.05,1968.74,1775.57,2154.42,2370.6,2928.6,4355.22
PARTNERS GROUP HOLDING,CH0024608827,,,,,,,,,3166.41,3595.94,1454.34,3379.77,4715.18,5058.31,6076.83,6732.17,8191.21,9752.89,13951.5,19734.21,19142.06,24506.4,32162.1,36034.74,25653.84,38449.4
SCHINDLER 'R',CH0024638212,1311.22,1139.4,1161.58,1107.74,1311.16,2234.06,3096.6,3074.65,4804.5,4465.76,3484.11,5703.66,8041.06,8803.48,10641.6,10474.67,10991.17,11600.85,12633.93,15570.27,15053.65,14726.01,17945.6,14513.51,14345.84,17064.1
KUEHNE UND NAGEL INTERNATIONAL,CH0025238863,133.65,165.13,1334.83,1307.41,1526.71,2953.04,5274.03,7169.57,9683.95,11626.11,6073.87,10900.32,15871.3,16514.33,13707.34,16722.71,17557.67,15694.64,16867.93,20961.5,16720.74,18346.63,28591.63,32008.73,30977.86,39907.35
LOGITECH 'R',CH0025751329,240.9,1158.08,950.26,1941.53,1578.39,2251.82,3119.05,4000.19,5330.58,5122.22,1677.1,2954.07,3643.56,1715.47,1191.25,2736.45,2587.26,2635.02,5004.15,6973.76,6309.48,6585.03,17733.66,12363.63,9049.95,14883.8
GEBERIT 'R',CH0030170408,,1290.4,1089.1,867.27,1108.26,2132.75,3288.51,3751.86,6994.91,6053.54,3962.83,7024.91,8847.81,8670.68,9239.8,11683.27,13451.44,13547.59,15697.57,16995.06,15108.32,19356.08,21939.25,23464.15,19536.08,20701.26
SULZER 'R',CH0038388911,2144.37,2475.72,2501.37,663.1,421.5,931.13,1516.48,2264.72,4692.63,4185.31,1364.48,3065.95,5110.45,4803.19,5936.78,4720.88,4157.78,3311.09,3556.78,4732.43,3426.94,3336.82,3852.76,2981.21,2943.83,3854.17
NESTLE 'N',CH0038863350,74407.94,67305.92,83922.41,87214.92,78313.22,106621.03,111187.63,116791.74,156325.2,180719.95,124252.58,181851.42,194835.87,204401.45,223301.89,241508.97,252320.55,224947.26,230325.2,253803.69,279307.73,318756.12,302324.97,359442.21,316952.99,285914.37
CHUBB,CH0044328745,5279,3250.49,8585.73,10033.58,7046.91,12212.4,12783.22,17840.84,18691.98,19453.49,12847.43,16824.52,21233.12,24656.01,28852.2,32352.76,37572.3,54250.86,64468.7,67822.25,61959.33,71414.94,73197.5,88237.94,87538.19,103403.5
TRANSOCEAN,CH0048265513,2073.86,7162.9,15041.07,9222.0,7377.59,9361.91,15597.89,23144.04,23349.55,45679.41,19102.88,25672.34,26421.52,17777.04,18426.55,15527.64,5720.67,3149.58,5025.49,4437.7,4972.0,2101.13,2137.61,2267.91,4902.28,3842.9
JULIUS BAER GRUPPE,CH0102484968,,,,,,,,,,,,6436.91,9161.6,8364.72,8572.04,10385.51,10403.73,9059.44,10812.0,14731.51,9421.61,9989.47,13794.93,13167.97,14131.72,10937.33
GARMIN,CH0114405324,,,2288.97,2172.42,3614.2,4987.79,5572.29,7252.21,12366.01,13408.41,3426.72,6400.98,6416.04,9353.53,6710.75,10222.2,9481.41,8406.32,9999.61,11371.89,15848.43,17234.32,23758.68,21559.37,18810.64,25932.12
SWISS RE,CH0126881561,32988.24,24012.0,29875.1,27331.33,16068.85,23471.4,23462.68,23130.75,33088.01,28319.49,4650.45,16682.74,22540.06,22298.98,29291.29,34682.57,34001.78,33040.57,32443.01,36580.5,33422.31,33091.83,29964.61,30167.72,32802.93,38167.17
COCA-COLA HBC,CH0198251305,,,,,,,,,,,,,,,,9235.79,6456.0,6854.4,8789.35,12654.93,12654.16,12470.94,11399.48,10486.86,9326.65,11590.04
RICHEMONT N,CH0210483332,7889.09,12207.54,13171.35,10759.62,8128.16,13463.3,16425.42,22984.54,30125.77,30628.05,7103.81,17623.61,29745.12,31749.51,41301.71,51880.38,47166.84,33194.88,38891.59,47199.0,40183.01,36750.58,50498.97,70731.13,78175.73,83672.46
UBS GROUP,CH0244767585,66901.2,53804.78,70304.53,58106.65,51430.59,88033.71,97678.53,118194.87,128578.45,70913.81,29485.84,49118.72,75733.05,55134.49,60435.28,79470.78,65394.24,59025.77,59104.39,74793.69,48663.42,46150.26,60104.55,69317.49,75268.74,98256.89
FLUGHAFEN ZURICH,CH0319416936,291.29,286.96,208.14,251.67,79.75,350.43,684.61,943.44,2189.46,2575.31,1240.49,1831.56,2491.24,2376.66,2770.34,3844.79,4366.52,4879.43,6163.89,7473.48,5466.73,5000.19,5446.5,5524.76,5419.56,6523.75
UNITED INTERNET,DE0005089031,392.72,1399.41,209.21,222.25,438.13,1317.95,1739.39,3296.61,4986.52,4961.67,1817.72,3707.76,3789.29,4271.48,4415.19,8884.75,9212.3,10003.82,8425.05,14191.23,7451.11,6497.32,8618.68,6769.81,4173.31,4721.22
DEUTSCHE BANK,DE0005140008,27823.28,53519.12,50195.34,35803.22,24080.53,50366.76,48175.71,57772.81,72441.29,61489.62,15539.85,39476.65,59523.37,43485.68,42043.53,48836.45,45000.1,23872.54,26458.39,34044.08,18315.37,19532.43,25689.2,27612.3,24666.48,27130.2
BMW,DE0005190003,17288.12,16598.16,21509.51,22434.57,16041.63,26235.33,26590.69,29371.24,35557.72,33542.04,15616.04,24466.53,48680.71,57095.74,54872.55,69328.04,75485.11,48483.6,53540.63,65076.8,50701.5,39925.59,52173.39,59758.46,61826.78,67585.49
BEIERSDORF,DE0005200000,6224.81,5262.2,9193.45,9399.72,8611.64,9232.51,9572.55,11478.49,17158.12,19610.1,10828.06,15392.06,15018.57,15919.8,21823.98,25704.33,21669.96,22219.82,22976.93,28888.95,25176.92,27369.75,25192.7,25324.28,30216.43,38421.13
CONTINENTAL,DE0005439004,3036.92,2112.56,2531.83,2089.91,2135.98,5482.99,10118.69,15217.85,18805.47,16449.08,2734.54,9144.13,16401.82,18528.88,22839.13,47206.77,47220.24,39665.49,40649.84,56030.85,32906.24,22531.07,28890.02,17991.69,13923.26,15878.51
LANXESS,DE0005470405,,,,,,,1653.98,2874.51,4434.34,3349.38,1279.4,3054.53,6102.53,6390.5,7145.78,5993.76,4711.17,3800.5,6205.3,7723.42,5142.67,4704.2,6534.4,4438.62,3962.08,2233.79
DEUTSCHE POST,DE0005552004,,,23465.4,14173.3,11228.24,25954.33,26360.79,31382.66,39797.65,40196.6,12016.24,19668.14,22015.23,21469.37,26922.96,44697.65,41053.34,29240.84,42300.19,56939.48,38075.26,39720.84,62085.37,64132.61,52257.83,57581.41
DEUTSCHE TELEKOM,DE0005557508,125908.59,263927.24,72759.0,57513.24,46840.3,83152.29,88421.17,67766.32,80409.98,85154.99,52438.47,56414.31,58460.35,51272.24,46239.04,75311.97,82232.8,77663.39,81189.54,79127.32,78446.6,80540.89,86896.22,91069.19,110225.41,119233.54
FRAPORT,DE0005773303,,,,2207.02,1708.52,2693.36,3763.85,6959.63,7722.66,7099.21,2992.28,4630.97,6464.64,5936.1,5323.76,7182.38,5612.91,5356.47,5656.51,9718.82,7463.4,6231.18,5881.44,6482.68,4827.85,5314.18
FRESENIUS,DE0005785604,637.3,616.62,837.1,555.48,387.26,750.32,1032.92,2160.97,3197.88,3771.51,2211.28,3044.31,11636.98,13508.38,17572.24,22204.52,24353.58,29764.38,36287.84,36346.74,24989.5,22414.0,19625.93,20312.25,15644.55,15952.37
FRESENIUS MED.CARE,DE0005785802,4080.71,5666.46,5724.73,3515.17,3082.06,4651.03,6176.74,10322.12,14419.19,15415.94,12300.02,15470.81,19470.66,21749.38,20984.28,20753.99,24869.46,26274.21,25245.8,33496.69,23989.46,23670.72,20455.6,18841.31,11651.09,11659.8
DEUTSCHE BOERSE,DE0005810055,,,3433.35,4106.78,4331.42,6456.59,8235.91,13369.88,21425.92,34523.22,9405.7,13551.19,15085.18,13231.44,12136.02,15540.57,15791.8,16512.48,16627.06,25895.81,24203.03,30739.18,31330.78,32467.41,33066.78,39782.47
