NAME,ISIN,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SALZGITTER,DE0006202005,1101334.0,1101334.0,725441.0,764945.0,693000.0,600000.0,536000.0,536000.0,425000.0,386000.0,386000.0
INFINEON TECHNOLOGIES,DE0006231004,116087.0,505246.0,533921.0,607360.0,609825.0,642258.0,664770.0,634858.0,695432.0,574595.0,254335.0
MERCK KGAA,DE0006599905,180922.0,180922.0,191000.0,329000.0,357000.0,344000.0,306000.0,304000.0,321042.0,242000.0,227000.0
GEA GROUP,DE0006602006,145307.0,145307.0,137405.0,42357.0,38511.0,36068.0,36768.0,34286.0,34286.0,31689.0,28049.0
PUMA,DE0006969603,27835.0,27835.0,27835.0,27835.0,40029.0,43366.0,40986.0,29839.0,32545.0,35528.0,41679.0
RHEINMETALL,DE0007030009,340027.0,340027.0,323718.0,496667.0,496667.0,591001.0,264843.0,264843.0,306730.0,205421.0,198377.0
RWE,DE0007037129,1500000.0,1400000.0,1300000.0,1300000.0,1000000.0,372466.0,4720000.0,2600000.0,2700000.0,2700000.0,1237434.0
MERCEDES-BENZ GROUP N,DE0007100000,2304000.0,2241000.0,2171000.0,1882000.0,1763000.0,1687000.0,1276000.0,1035000.0,466000.0,94000.0,83000.0
SAP,DE0007164600,,163000.0,1362.0,167050.0,163744.0,160099.0,154032.0,124967.0,112000.0,175000.0,128600.0
SIEMENS,DE0007236101,1338000.0,1338000.0,1181000.0,882742.0,740000.0,637000.0,512000.0,512000.0,208000.0,189000.0,163000.0
CECONOMY,DE0007257503,1996592.0,1803799.0,1495710.0,1495710.0,1495710.0,291500.0,291400.0,238000.0,204051.0,198400.0,198400.0
SUEDZUCKER,DE0007297004,436220.0,436220.0,291627.0,372812.0,372265.0,396677.0,314269.0,390874.0,435054.0,500000.0,500000.0
HEIDELB.DRUCKMASCHINEN,DE0007314007,82103.0,82103.0,62744.0,58564.0,58540.0,70301.0,70606.0,58316.0,58316.0,65647.0,46331.0
THYSSENKRUPP,DE0007500001,1800000.0,1700000.0,1200000.0,1200000.0,1300000.0,1400000.0,1300000.0,1300000.0,1300000.0,850000.0,1000000.0
VOLKSWAGEN PREF.,DE0007664039,4750402.0,4750402.0,5020000.0,5280000.0,4910000.0,4300000.0,3800000.0,2800000.0,2420000.0,2110000.0,1960000.0
DEUTSCHE LUFTHANSA,DE0008232125,1343584.0,1343584.0,156363.0,275161.0,256232.0,194059.0,194059.0,135183.0,139496.0,125245.0,90673.0
HANNOVER RUECK,DE0008402215,328.0,328.0,269.0,266.0,1267.0,1506.0,4753.0,6786.0,1859.0,2359.0,278.28
ALLIANZ,DE0008404005,156389.0,63801.0,127791.0,256129.0,280235.0,239132.0,224315.0,180826.0,138746.0,138339.0,112228.0
MUENCHENER RUCK.,DE0008430026,107402.0,107402.0,77700.0,66259.0,39834.0,31713.0,63813.0,51933.0,47751.0,41770.0,38157.0
NORDEX,DE000A0D6554,26981.0,26981.0,28797.0,1931.0,7109.0,1908.0,1908.0,8508.0,8508.0,607.0,501.0
MTU AERO ENGINES HLDG.,DE000A0D9PT0,99294.0,99294.0,47686.0,44630.0,44630.0,41669.0,75151.0,45115.0,52700.0,56098.0,68231.5354305267
AIXTRON,DE000A0WMPJ6,8140.0,8140.0,4542.0,2390.0,2370.0,5577.0,5577.0,6180.0,499.0,499.0,5546.0
ADIDAS,DE000A1EWWW0,50601.0,51674.0,43614.0,42485.0,48815.0,55266.0,21690.0,21690.0,125502.0,142293.0,142457.0
BASF,DE000BASF111,3987000.0,3911000.0,3795000.0,3884000.0,3796000.0,5243000.0,3519000.0,3362000.0,3670000.0,3588000.0,3317000.0
BAYER,DE000BAY0017,4286000.0,4700000.0,5300000.0,5000000.0,1280000.0,1640000.0,1770000.0,1750000.0,1560000.0,1560000.0,1650000.0
COMMERZBANK,DE000CBK1001,7059.0,6940.0,10883.0,10883.0,13351.0,13326.0,15093.0,12263.0,12263.0,12857.0,12867.0
E ON N,DE000ENAG999,3500000.0,3900000.0,3600000.0,3360000.0,3340000.0,2880000.0,2730000.0,4490000.0,3900000.0,3380000.0,3460000.0
K S N,DE000KSAG888,206307.0,206307.0,217677.0,252860.0,200000.0,200000.0,200000.0,200000.0,130000.0,130000.0,100000.0
PROSIEBENSAT 1 MEDIA,DE000PSM7770,,28390.0,15002.0,11384.0,12478.0,11804.0,11804.0,9577.0,7165.0,7165.0,6599.0
CARLSBERG B,DK0010181759,326053.0,326053.0,364433.0,372072.0,270164.0,311361.0,271648.0,148000.0,339000.0,303000.0,363668.44
ROCKWOOL B,DK0010219153,337161.0,337161.0,351724.0,320000.0,320000.0,340000.0,340000.0,297425.0,410000.0,330000.0,290000.0
FLSMIDTH AND B,DK0010234467,58992.0,33100.0,33450.0,33450.0,37031.0,37031.0,28541.0,25943.0,26700.0,26297.0,26297.0
A P MOLLER MAERSK B,DK0010244508,376000.0,378000.0,415000.0,252000.0,402000.0,339000.0,287000.0,305000.0,310000.0,356000.0,386000.0
GN STORE NORD,DK0010272632,17745.0,17949.0,16221.0,32068.0,39545.0,44494.0,50688.0,50688.0,58049.0,6974.0,6479.0
DANSKE BANK,DK0010274414,22227.0,22680.0,22680.0,17862.0,18344.0,14860.0,14773.0,20459.0,8037.0,7711.0,4552.0
NKT,DK0010287663,71501.0,71501.0,90677.0,90677.0,36944.0,49141.0,66504.0,44681.0,40308.0,38260.0,38260.0
JYSKE BANK,DK0010307958,10381.0,10381.0,12401.0,6637.0,5946.0,11519.0,6567.0,6082.0,2249.0,1527.0,1527.0
SYDBANK,DK0010311471,5324.0,5324.0,4531.0,1432.0,1432.0,1851.0,1991.0,1830.0,1830.0,1234.0,1234.0
DSV,DK0060079531,54000.0,45000.0,48000.0,63000.0,51000.0,55000.0,55000.0,98000.0,119000.0,226000.0,226000.0
NOVOZYMES B,DK0060336014,343278.0,344000.0,334000.0,335000.0,369000.0,399000.0,290000.0,197000.0,210000.0,115000.0,115000.0
COLOPLAST B,DK0060448595,44842.0,44842.0,34368.0,34143.0,30800.0,10400.0,33800.0,28600.0,28600.0,30000.0,32200.0
TOPDANMARK DEAD - DELIST.21/10/24,DK0060477503,2203.0,2135.0,1975.0,1975.0,1355.0,1317.0,2322.0,2123.0,2020.0,2020.0,2357.0
TRYG,DK0060636678,,3126.0,4244.0,2900.0,1520.0,3077.0,3896.0,1041.0,899.0,1314.0,1314.0
DEMANT,DK0060738599,,,11889.0,12575.0,12575.0,15113.0,19868.0,16662.0,19656.0,20498.0,18153.0
ATRESMEDIA CORP,ES0109427734,9013.0,9013.0,4383.0,6221.0,6221.0,8508.0,8261.0,525.0,428.0,428.0,6789.0
EBRO FOODS,ES0112501012,110241.0,110241.0,105749.0,114791.0,114791.0,114741.0,356092.0,356092.0,99153.0,99153.0,102467.0
BBV.ARGENTARIA,ES0113211835,,291722.0,288236.0,334520.0,347449.0,347449.0,338503.0,286936.0,252131.0,199183.0,203407.0
BANKINTER 'R',ES0113679I37,6115.0,6115.0,8386.0,8813.0,9274.0,10400.0,1475.0,814.0,11.0,11.0,6404.87
BANCO DE SABADELL,ES0113860A34,2189.0,2189.0,3321.0,54.0,22.0,20.0,18.0,26.0,10.0,10.0,0.0
BANCO SANTANDER,ES0113900J37,290346.0,290346.0,256372.0,234346.0,374346.0,364682.0,322038.0,282216.0,269615.0,217906.0,205292.0
NATURGY ENERGY,ES0116870314,512424.0,678000.0,1460000.0,1631000.0,895503.0,1102000.0,978147.0,978147.0,487067.0,363489.0,397497.0
CORPORACION FINCA.ALBA,ES0117160111,2528.0,2528.0,399.0,920.0,861.0,4552.0,3274.0,1260.0,1948.0,1948.0,2163.0
INDRA SISTEMAS,ES0118594417,25891.0,25891.0,23587.0,21705.0,10160.0,10160.0,9169.0,2923.0,2923.0,8211.0,7211.0
FOMENTO CONSTR.Y CNTR.,ES0122060314,74561.0,698553.0,698553.0,681449.0,440511.0,560579.0,731600.0,604073.0,604073.0,630050.0,514089.0
MAPFRE,ES0124244E34,31951.0,26583.0,26903.0,19267.0,30039.0,27823.0,35601.0,25037.0,24860.0,26742.0,26742.0
ACCIONA,ES0125220311,157452.0,181000.0,178343.0,395272.0,395272.0,676426.0,389045.0,105473.0,156753.0,139733.0,166743.0
ENDESA,ES0130670112,1317120.0,2158714.0,810840.0,930190.0,930190.0,969700.0,723653.0,512960.0,470773.0,393958.0,294096.0
ENAGAS,ES0130960018,36079.0,48680.0,32444.0,27010.0,46851.0,48177.0,81883.0,81883.0,46368.0,59653.0,59653.0
ACERINOX 'R',ES0132105018,179571.0,179571.0,209642.0,253567.0,262500.0,355028.0,731085.0,1952157.0,1952157.0,2179654.0,1581947.0
FAES FARMA,ES0134950F36,5544.0,5544.0,4724.0,5436.0,4912.0,6461.0,4868.0,4036.0,4036.0,856.0,856.0
OBRASCON HUARTE LAIN,ES0142090317,60267.0,60267.0,68282.0,71768.0,68679.0,55923.0,13921.0,12623.0,12623.0,14745.0,14745.0
IBERDROLA,ES0144580Y14,2162100.0,1544000.0,963000.0,788971.0,3415197.0,2544044.0,2153797.0,2153797.0,2161983.0,1879381.0,1746827.0
INDITEX,ES0148396007,283466.0,283466.0,666188.0,540312.0,470629.0,479386.0,332789.0,472510.0,472510.0,0.0,0.0
MEDIASET ESPANA COMUNICACION,ES0152503035,8981.0,8981.0,5668.0,5319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MINOR HOTELS EUROPE & AMERICAS,ES0161560018,32845.0,32845.0,23769.0,27189.0,27189.0,61823.0,41808.0,30034.0,46872.0,46872.0,44487.0
ACS ACTIV.CONSTR.Y SERV.,ES0167050915,346861.0,463901.0,294523.0,242119.0,368021.0,145294.0,279435.0,183375.0,103637.0,121602.0,151266.0
PROMOTORA DE INFIC. A PRRDE.INFORMACIONES,ES0171743901,,29114.0,14251.0,13330.0,13330.0,14966.0,11381.0,5683.0,3325.0,3325.0,1926.0
GRIFOLS ORD CL A,ES0171996087,,107727.0,108575.0,122508.0,112480.0,120493.0,131442.0,127596.0,117152.0,105068.0,136237.0
REDEIA CORPORACION,ES0173093024,,,808347.0,738038.0,956967.0,1117407.0,781452.0,781452.0,646531.0,727214.0,591970.0
REPSOL YPF,ES0173516115,1036885.0,1170000.0,574000.0,558000.0,388000.0,406000.0,560000.0,400000.0,400000.0,400000.0,400000.0
TELEFONICA,ES0178430E18,1753313.0,1753313.0,1641614.0,1908230.0,1855167.0,1717772.0,1675620.0,1396941.0,1396941.0,1002189.0,1036537.0
SACYR,ES0182870214,33975.0,33975.0,20666.0,60796.0,48780.0,60108.0,49184.0,49184.0,274570.0,472737.0,472737.0
ZARDOYA OTIS DEAD - DELIST.09/05/22,ES0184933812,25312.0,25312.0,23061.0,18442.0,20894.0,26861.0,25410.0,26656.0,25479.0,25479.0,25479.0
KESKO B,FI0009000202,151574.0,151574.0,144436.0,177829.0,177829.0,173645.0,149601.0,128358.0,128358.0,98796.0,176123.0
TIETOEVRY,FI0009000277,26644.0,20465.0,20465.0,17393.0,18931.0,18931.0,15608.0,12372.0,9336.0,9336.0,7803.0
HUHTAMAKI,FI0009000459,709059.0,709059.0,707989.0,587564.0,606000.0,559000.0,546000.0,469000.0,706000.0,706000.0,458000.0
NOKIA,FI0009000681,145400.0,145400.0,225500.0,488500.0,482800.0,436900.0,421900.0,380200.0,377300.0,354800.0,322300.0
