NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
EFG INTERNATIONAL N,CH0022268228,,,,,,,,67.71,94.94,70.91,32.91,36.38,39.38,24.36,33.0,38.35,30.32,22.71,17.08,31.68,18.86,20.9,24.28,27.4,34.16,51.52
PARTNERS GROUP HOLDING,CH0024608827,,,,,,,,,138.3,149.27,80.58,158.51,238.95,253.43,332.27,350.9,430.24,551.12,824.8,1209.04,1158.22,1626.52,2196.72,2530.38,1873.01,2644.36
SCHINDLER 'R',CH0024638212,891.28,891.22,970.49,878.66,1104.07,1841.31,2346.99,2743.32,4263.07,3706.88,3063.85,4983.73,7951.84,8459.79,11000.7,11102.9,11323.23,12642.81,14970.24,19069.41,17355.19,20874.76,22978.41,22052.66,18553.92,21643.83
KUEHNE UND NAGEL INTERNATIONAL,CH0025238863,114.48,116.48,189.48,162.7,203.98,435.98,682.15,967.66,1444.6,1557.41,1121.95,1754.23,2576.54,2683.71,2502.68,2928.14,3237.49,3228.79,3427.5,4571.78,3628.56,4608.08,6515.98,8210.56,7684.0,10496.13
LOGITECH 'R',CH0025751329,87.81,434.18,397.14,535.3,437.0,631.04,817.94,1030.5,1505.62,1416.78,528.38,808.75,1013.68,447.75,382.24,898.7,869.91,937.1,1849.23,2539.63,2309.72,3010.05,7428.73,5329.42,4024.97,5903.68
GEBERIT 'R',CH0030170408,,99.49,88.62,66.01,92.93,174.92,253.25,315.42,620.38,484.41,385.22,666.53,841.26,885.67,1012.31,1319.75,1557.71,1656.47,2012.88,2196.99,1943.47,2741.95,3208.04,3523.26,3100.3,3196.71
SULZER 'R',CH0038388911,595.73,701.88,720.77,187.82,139.19,302.87,469.77,701.01,1695.35,1217.37,633.9,1071.12,1925.82,1799.15,2290.42,2191.41,1706.49,1392.63,2049.31,2582.8,1834.66,2239.61,2428.65,3021.37,2987.47,3655.37
NESTLE 'N',CH0038863350,1796.18,1619.37,2145.12,2257.26,2048.45,2964.95,2865.13,3251.84,4240.65,4980.47,3917.5,5606.04,6932.57,7796.97,9521.64,10679.16,11248.52,11137.99,11368.14,13245.32,14264.03,18951.25,19383.22,23034.21,21766.21,21196.81
CHUBB,CH0044328745,307.13,195.21,458.69,469.87,340.66,561.0,589.98,708.41,793.53,804.04,616.34,686.72,913.72,1104.12,1301.34,1477.48,1806.91,1841.41,2192.11,2522.56,2283.27,2901.79,2972.84,3817.64,4072.76,4752.51
TRANSOCEAN,CH0048265513,241.43,329.06,463.34,257.68,211.08,252.36,419.31,754.34,731.65,1088.89,532.54,748.84,711.04,459.87,532.33,414.14,195.63,115.45,151.28,108.27,93.78,53.35,39.42,41.55,82.77,55.82
JULIUS BAER GRUPPE,CH0102484968,,,,,,,,,,,,78.13,121.55,105.04,112.43,129.58,134.29,118.32,143.22,205.28,129.91,160.53,211.21,217.99,248.17,204.02
GARMIN,CH0114405324,,,121.88,94.3,143.3,259.85,286.15,315.56,536.1,691.06,191.42,361.83,372.09,533.12,484.98,606.02,736.05,502.25,750.89,993.15,1131.93,1606.17,2060.45,2181.71,1774.35,2247.07
SWISS RE,CH0126881561,3810.39,2806.8,3765.29,3022.2,1973.08,2594.48,2433.73,2576.84,3077.83,2587.69,632.24,1661.12,2356.95,2509.59,3444.98,4487.17,5036.13,5426.42,5945.98,6371.55,6741.33,8566.27,7376.14,9300.99,9391.5,11549.25
COCA-COLA HBC,CH0198251305,,,,,,,,,,,,,,,,153.32,100.13,115.32,138.59,200.49,220.13,252.38,221.49,241.48,175.03,219.11
RICHEMONT N,CH0210483332,350.61,588.85,585.43,431.21,360.72,588.26,732.95,1077.06,1439.04,1379.35,975.69,1978.46,3466.99,3654.88,5017.97,6122.82,5567.72,4321.83,5056.47,6251.45,4816.51,5457.52,7007.51,10606.25,11736.04,11832.19
UBS GROUP,CH0244767585,1343.77,1068.72,1571.74,1199.79,1175.99,2087.55,2392.97,3222.3,3940.65,2382.23,794.25,925.14,1308.12,1020.61,1210.7,1493.62,1293.08,1174.87,1285.26,1609.6,1117.34,1199.41,1461.53,2066.83,2220.01,2902.44
FLUGHAFEN ZURICH,CH0319416936,323.67,252.16,213.87,74.88,33.12,92.5,180.44,273.11,499.4,512.25,314.03,414.8,625.22,600.17,704.31,997.15,1132.23,1286.21,1749.48,2177.14,1652.78,1682.58,1636.81,1767.8,1763.04,2120.43
UNITED INTERNET,DE0005089031,397.38,1008.0,119.54,123.47,197.73,600.55,690.75,1263.77,2071.23,1966.58,842.3,1573.85,1937.29,2244.09,2755.13,5436.8,5440.95,6086.13,5025.3,8693.03,4750.27,4212.1,6039.63,5374.97,3103.09,3587.23
DEUTSCHE BANK,DE0005140008,951.04,1446.92,1697.09,1108.84,768.37,1637.4,1727.9,2154.45,2915.21,2402.09,644.47,1359.49,1651.81,1181.35,1336.78,1346.68,915.52,519.98,600.93,559.97,295.35,371.23,367.13,559.03,453.91,473.46
BMW,DE0005190003,3915.46,3324.15,4883.41,4784.26,3897.76,6110.19,6134.08,6768.32,8829.29,7570.27,4356.64,6429.89,12626.89,14951.13,16164.12,19423.45,21506.49,14933.19,17028.2,21842.5,16899.2,15604.29,19482.87,24373.67,26572.27,29475.21
BEIERSDORF,DE0005200000,2446.35,2202.78,3656.51,3736.85,3822.41,4124.22,4071.46,4486.1,7305.52,8196.05,5187.84,6546.06,6620.32,7310.73,10478.72,12245.05,10821.12,11295.0,11185.58,14464.29,12964.66,14708.31,14455.27,13126.19,15595.56,20089.31
CONTINENTAL,DE0005439004,902.37,519.41,573.81,483.94,526.09,1361.46,2634.79,3563.89,4607.04,3540.97,717.96,2037.98,3176.41,3466.52,4680.64,8969.52,9821.34,8764.5,8813.14,12757.61,6856.18,5431.03,7302.35,5271.31,4270.38,4610.05
LANXESS,DE0005470405,,,,,,,133.24,205.46,365.16,228.67,125.36,262.76,560.63,526.8,640.88,530.42,390.03,320.18,557.2,675.43,426.67,515.12,636.14,518.83,432.6,243.03
DEUTSCHE POST,DE0005552004,,,106.01,62.71,50.63,120.71,120.74,148.93,177.24,180.53,79.69,105.82,124.49,121.44,168.45,266.1,256.68,189.24,278.34,401.31,258.75,331.67,484.76,587.55,456.09,485.62
DEUTSCHE TELEKOM,DE0005557508,314.01,567.17,225.97,101.19,96.73,154.66,164.74,125.72,151.88,174.36,124.29,131.68,154.96,142.98,153.66,227.48,264.16,253.43,263.58,270.53,275.31,291.85,337.4,376.22,430.52,496.17
FRAPORT,DE0005773303,,,,69.06,54.4,91.32,113.32,209.85,240.63,225.4,130.38,160.81,250.42,210.4,216.58,281.36,235.3,227.35,239.79,456.22,327.51,329.38,246.04,297.11,246.37,254.09
FRESENIUS,DE0005785604,797.26,821.04,985.11,665.18,432.26,899.08,1116.21,1742.56,2342.02,2600.35,1690.99,2056.96,3037.37,3746.69,4460.39,5895.2,6121.1,6909.75,8954.96,9254.09,6099.29,6201.75,5115.36,5256.64,3729.82,3591.43
FRESENIUS MED.CARE,DE0005785802,91.13,130.5,128.02,91.55,72.63,113.62,134.96,185.28,245.34,253.69,236.62,268.39,333.72,405.67,394.54,402.72,424.41,491.77,481.99,647.39,460.47,493.72,430.82,449.3,253.42,266.19
DEUTSCHE BOERSE,DE0005810055,,,105.24,110.9,110.67,194.63,190.61,379.66,672.14,1058.01,363.11,430.83,558.55,481.49,516.76,664.15,688.09,764.23,808.75,1239.65,1269.06,1665.85,1670.63,1865.47,1886.55,2176.11
BILFINGER BERGER,DE0005909006,773.77,556.91,520.98,806.13,765.98,1578.28,2045.6,2355.22,3735.98,2799.33,2273.99,3718.66,4922.53,5772.36,6233.12,7660.81,3991.49,2979.13,2838.39,3163.34,2409.41,2752.31,2821.82,3031.79,3384.14,4154.21
HEIDELBERG MATERIALS,DE0006047004,785.14,739.66,702.09,610.15,390.44,689.82,1203.66,1702.9,2617.97,2548.86,722.55,1106.13,1285.77,1022.71,1310.67,1565.45,1533.63,1495.87,1968.65,2208.83,1470.12,1576.4,1706.72,1747.52,1656.03,2380.98
HENKEL PREFERENCE,DE0006048432,566.6,371.47,458.5,388.27,418.53,621.87,690.76,799.52,1124.81,999.0,622.15,1166.56,1502.49,1560.56,2187.38,2880.28,3055.83,2861.22,3268.05,3558.89,2732.72,2932.82,3036.21,2433.63,2107.24,2396.55
HOCHTIEF,DE0006070006,1871.12,1411.67,1269.64,962.62,811.5,1843.64,2182.73,3509.54,5844.06,7238.69,2685.52,5293.4,6789.75,5612.29,5128.42,6744.96,6022.94,8013.54,12575.91,14978.65,13404.49,11208.86,10026.5,8583.49,7083.29,12568.83
SALZGITTER,DE0006202005,238.34,228.0,227.21,275.82,212.52,358.97,647.48,2158.63,4165.11,5450.99,2846.68,2917.74,2886.85,2107.42,1609.83,1528.95,991.54,756.53,1395.09,2036.38,1015.67,663.74,943.77,1316.98,1475.93,1085.42
