ISIN,Name,Country,Region,Reason
IE00BF0L3536,AIB GROUP,IE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
IE00BK9ZQ967,TRANE TECHNOLOGIES,IE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
IE00BLP1HW54,AON CLASS A,IE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
IL0010849045,BATM ADVANCED COMMS.,IL,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
IL0010943905,AMIAD WATER SYSTEMS,IL,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data; DS_REV_USD_Y.xlsx: >20% missing data
IT0001042610,SABAF,IT,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
IT0005218380,BANCO BPM,IT,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
IT0005239360,UNICREDIT,IT,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
IT0005495657,SAIPEM,IT,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
IT0005496473,TESSELLIS,IT,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
IT0005508921,BANCA MONTE DEI PASCHI,IT,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
JE00BJ1DLW90,MAN GROUP,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
JE00BJ1F3079,AMCOR,GB,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
JE00BYVQYS01,INTERNATIONAL WORKPLACE GROUP,CH,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
NL0013267909,AKZO NOBEL,NL,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
NL0013332471,TOM TOM,NL,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
NL00150001Q9,STELLANTIS,NL,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
NL00150003E1,FUGRO C,NL,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
NL0015001FS8,FERROVIAL,NL,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
NL0015435975,DAVIDE CAMPARI MILANO,IT,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
NO0010215684,AKASTOR,NO,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
NO0010861990,PROSAFE,NO,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
NO0012470089,TOMRA SYSTEMS,NO,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
SE0011090018,HOLMEN B,SE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
SE0011166974,FABEGE,SE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
SE0011256312,ENIRO GROUP,SE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
SE0015811955,INVESTOR A,SE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
SE0015812219,SWEDISH MATCH DEAD - DELIST.02/01/23,SE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
SE0015961909,HEXAGON B,SE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
SE0015988019,NIBE INDUSTRIER,SE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
SE0016589188,ELECTROLUX B,SE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
SE0017486889,ATLAS COPCO A,SE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
SE0018012494,MODERN TIMES GROUP MTG B,SE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
SE0018012635,WIHLBORGS FASTIGHETER,SE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
SE0020050417,BOLIDEN ORD SHS,SE,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
US91822M5022,VEON ADR 1:25,NL,EUR,Scope_1.xlsx: >20% missing data; Scope_2.xlsx: >20% missing data
